GL_COMPILE_AND_EXECUTE	`compile_and_execute
GL_MAP2_TEXTURE_COORD_3	`map2_texture_coord_3
GL_MAP2_TEXTURE_COORD_4	`map2_texture_coord_4
GL_MAP2_VERTEX_3	`map2_vertex_3
GL_MAP2_VERTEX_4	`map2_vertex_4
GL_NORMALIZE		`normalize
GL_POINT_SMOOTH		`point_smooth
GL_POLYGON_SMOOTH	`polygon_smooth
GL_POLYGON_STIPPLE	`polygon_stipple
GL_SCISSOR_TEST		`scissor_test
GL_STENCIL_TEST		`stencil_test
GL_TEXTURE_1D		`texture_1d
GL_TEXTURE_2D		`texture_2d
GL_TEXTURE_GEN_Q	`texture_gen_q
GL_TEXTURE_GEN_R	`texture_gen_r
GL_TEXTURE_GEN_S	`texture_gen_s
GL_TEXTURE_GEN_T	`texture_gen_t

GL_COLOR_BUFFER_BIT	`color
GL_DEPTH_BUFFER_BIT	`depth
GL_ACCUM_BUFFER_BIT	`accum
GL_STENCIL_BUFFER_BIT	`stencil
glClearColor		GlClear.color
glClearDepth		GlClear.depth
glClearIndex		GlClear.index
glClear			GlClear.clear

glPushAttrib		GlMisc.push_attrib
glPopAttrib		GlMisc.pop_attrib

Attrib.GL_ACCUM_BUFFER_BIT	`accum_buffer
Attrib.GL_COLOR_BUFFER_BIT	`color_buffer
Attrib.GL_CURRENT_BIT		`current
Attrib.GL_DEPTH_BUFFER_BIT	`depth_buffer
Attrib.GL_ENABLE_BIT		`enable
Attrib.GL_EVAL_BIT		`eval
Attrib.GL_FOG_BIT		`fog
Attrib.GL_HINT_BIT		`hint
Attrib.GL_LIGHTING_BIT		`lighting
Attrib.GL_LINE_BIT		`line
Attrib.GL_LIST_BIT		`list
Attrib.GL_MULTISAMPLE_BIT	`multisample
Attrib.GL_PIXEL_MODE_BIT	`pixel_mode
Attrib.GL_POINT_BIT		`point
Attrib.GL_POLYGON_BIT		`polygon
Attrib.GL_POLYGON_STIPPLE_BIT	`polygon_stipple
Attrib.GL_SCISSOR_BIT		`scissor
Attrib.GL_STENCIL_BUFFER_BIT	`stencil_buffer
Attrib.GL_TEXTURE_BIT		`texture
Attrib.GL_TRANSFORM_BIT		`transform
Attrib.GL_VIEWPORT_BIT		`viewport

glEdgeFlagPointer	GlArray.edge_flag
glTexCoordPointer	GlArray.tex_coord
glColorPointer		GlArray.color
glIndexPointer		GlArray.index
glNormalPointer		GlArray.normal
glVertexPointer		GlArray.vertex
glEnableClientState	GlArray.enable
glDisableClientState	GlArray.disable
glArrayElement		GlArray.element
glDrawArrays		GlArray.draw_arrays
glDrawElements		GlArray.draw_elements

GL_COLOR_ARRAY			`color
GL_EDGE_FLAG_ARRAY		`edge_flag
GL_FOG_COORD_ARRAY		`fog_coord
GL_INDEX_ARRAY			`index
GL_NORMAL_ARRAY			`normal
GL_SECONDARY_COLOR_ARRAY	`secondary_color
GL_TEXTURE_COORD_ARRAY		`texture_coord
GL_VERTEX_ARRAY			`vertex

glColorMaterial		GlLight.color_material
glLightModel		GlLight.light_model
glFog			GlLight.fog
glMaterial		GlLight.material
glLight			GlLight.light

GL_BACK			`back
GL_FRONT_AND_BACK	`both
GL_FRONT		`front

GL_EMISSION		`emission
GL_DIFFUSE		`diffuse
GL_SPECULAR		`specular
GL_AMBIENT_AND_DIFFUSE	`ambient_and_diffuse
GL_AMBIENT		`ambient

Material.GL_SHININESS		`shininess
Material.GL_AMBIENT_AND_DIFFUSE	`ambient_and_diffuse
Material.GL_COLOR_INDEXES	`color_indexes

Light.GL_POSITION		`position
Light.GL_SPOT_DIRECTION		`spot_direction
Light.GL_SPOT_EXPONENT		`spot_exponent
Light.GL_SPOT_CUTOFF		`spot_cutoff
Light.GL_CONSTANT_ATTENUATION	`constant_attenuation
Light.GL_LINEAR_ATTENUATION	`linear_attenuation
Light.GL_QUADRATIC_ATTENUATION	`quadratic_attenuation

Bigarray.Array1.create		Raw.create
Bigarray.Array1.set		Raw.set_float
float32				`float

GL_MODELVIEW		`modelview
GL_PROJECTION		`projection
GL_TEXTURE		`texture
GL_COLOR		`color


GLUT_KEY_F2		Glut.KEY_F2
GLUT_KEY_F3		Glut.KEY_F3
GLUT_KEY_F4		Glut.KEY_F4
GLUT_KEY_F5		Glut.KEY_F5
GLUT_KEY_F6		Glut.KEY_F6
GLUT_KEY_F7		Glut.KEY_F7
GLUT_KEY_F8		Glut.KEY_F8
GLUT_KEY_F9		Glut.KEY_F9
GLUT_KEY_F10		Glut.KEY_F10
GLUT_KEY_F11		Glut.KEY_F11
GLUT_KEY_F12		Glut.KEY_F12
GLUT_KEY_F1		Glut.KEY_F1
GLUT_KEY_LEFT		Glut.KEY_LEFT
GLUT_KEY_UP		Glut.KEY_UP
GLUT_KEY_RIGHT		Glut.KEY_RIGHT
GLUT_KEY_DOWN		Glut.KEY_DOWN
GLUT_KEY_PAGE_UP	Glut.KEY_PAGE_UP
GLUT_KEY_PAGE_DOWN	Glut.KEY_PAGE_DOWN
GLUT_KEY_HOME		Glut.KEY_HOME
GLUT_KEY_END		Glut.KEY_END
GLUT_KEY_INSERT		Glut.KEY_INSERT

